neologism,definition
bestie,A bestie means a person's best friend and can be used ironically online.
deplatform,"To deplatform means to prevent (a person holding views regarded as unacceptable or offensive) from contributing to a forum or debate, especially by blocking them on a particular website."
webseries,"A webseries is a series of scripted or non-scripted online videos, generally in episodic form, released on the Internet."
lollys,Lollys is short for lolipops.
brainrot,"Brainrot is slang for a strong fixation on a particular topic, often a person, hobby, or piece of media."
lewdity,Lewdity is dressing in a way that does not actually reveal anything but at a distance gives the impression that it might.
terpy,Terpy is slang for terpenes and describes someone who smokes thc often.
omds,OMDS is slang for oh my days.
slurs,"Slurs are words expressing a negative or a disrespectful connotation, a low opinion, or a lack of respect toward someone or something."
frownies,Frownies are patches that target the facial muscles to smooth and lift static wrinkles and expression lines.
e-dating,"E-dating is the Internet equivalent of a date; the process of getting to know someone, with a view to romance, via instant messages or other computerized communication."
transmigrates,Transmigrates mean for the soul to pass into a different body after death.
dosser,A dosser is a homeless person.
freshie,A freshie is short for freshman.
derangements,Derangements are mental disorders or serious mental disturbances.
puffers,"Puffers are warm waist-length or hip-length coats filled with thick soft material sewn into sections, especially one in which the sections look as though they are puffed up."
sortation,A sortation is the process of sorting or its result.
bucked,"Bucked is used in an idiom that describes the process of becoming encouraged, reinvigorated, or cheerful."
bookish,Bookish means devoted to reading and studying rather than worldly interests.
swill,To swill means to drink (something) greedily or in large quantities.
v-tubers,v-tubers are online entertainers who use a virtual avatar generated using computer graphics.
allowlist,"An allowlist is a directory of specific elements that are allowed, e.g. email addresses, IP addresses or URLs etc."
hyperlexic,Being hyperlexic is having advanced and unexpected reading skills and abilities in children way beyond their chronological age.
slayyyy,Slayyyy is a slang term used to express excitement and approval over someone else's action or appearance.
bebecita,"A bebecita is a Spanish word that is similar to calling a girl babe, babygirl, baddie, or hottie."
wtv,WTV means whatever.
wibta,"WIBTA stands for ""Would I be the asshole""."
uninviting,Uninviting means not pleasant or appealing.
blud,Blud is slang that is used to address men and means bro.
tradwife,"A tradwife in recent Western culture, typically denotes a woman who believes in and practices traditional sex roles and marriages. "
grifter,A grifter is a person who engages in petty or small-scale swindling.
problematic,"Problematic is used online as slang to describe someone who's said or done things that might be considered sexist, racist, or otherwise offensive to a group of individuals."
pretext,A pretext is an excuse to do something or say something that is not accurate.
self-sabotage,Self-sabotage is when people do (or don't do) things that block their success or prevent them from accomplishing their goals.
maidenless,Maidenless is online slang to refer to someone who has never been in a relationship and is single.
